Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/2021,AQS,120730012,1,5.9,ug/m3 LC,33,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/4/2021,AQS,120730012,1,5,ug/m3 LC,28,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/7/2021,AQS,120730012,1,6.5,ug/m3 LC,36,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/10/2021,AQS,120730012,1,9,ug/m3 LC,50,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/13/2021,AQS,120730012,1,8.3,ug/m3 LC,46,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/16/2021,AQS,120730012,1,6.4,ug/m3 LC,36,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/19/2021,AQS,120730012,1,12.6,ug/m3 LC,58,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/22/2021,AQS,120730012,1,3.8,ug/m3 LC,21,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/25/2021,AQS,120730012,1,6.6,ug/m3 LC,37,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/28/2021,AQS,120730012,1,4.1,ug/m3 LC,23,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
1/31/2021,AQS,120730012,1,7.6,ug/m3 LC,42,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
2/3/2021,AQS,120730012,1,7.9,ug/m3 LC,44,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
2/6/2021,AQS,120730012,1,2.1,ug/m3 LC,12,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
2/9/2021,AQS,120730012,1,5.1,ug/m3 LC,28,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
2/12/2021,AQS,120730012,1,4.7,ug/m3 LC,26,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
2/15/2021,AQS,120730012,1,2.3,ug/m3 LC,13,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
2/18/2021,AQS,120730012,1,4.5,ug/m3 LC,25,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
2/21/2021,AQS,120730012,1,8,ug/m3 LC,44,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
2/24/2021,AQS,120730012,1,8.4,ug/m3 LC,47,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
2/27/2021,AQS,120730012,1,6.2,ug/m3 LC,34,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/2/2021,AQS,120730012,1,2.4,ug/m3 LC,13,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/5/2021,AQS,120730012,1,12.6,ug/m3 LC,58,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/8/2021,AQS,120730012,1,20.9,ug/m3 LC,73,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/11/2021,AQS,120730012,1,5.7,ug/m3 LC,32,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/14/2021,AQS,120730012,1,9.7,ug/m3 LC,52,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/17/2021,AQS,120730012,1,6.9,ug/m3 LC,38,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/20/2021,AQS,120730012,1,7.5,ug/m3 LC,42,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/23/2021,AQS,120730012,1,6.4,ug/m3 LC,36,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/26/2021,AQS,120730012,1,7.5,ug/m3 LC,42,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
3/29/2021,AQS,120730012,1,14.4,ug/m3 LC,61,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
4/1/2021,AQS,120730012,1,3.8,ug/m3 LC,21,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
4/4/2021,AQS,120730012,1,7.2,ug/m3 LC,40,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
4/7/2021,AQS,120730012,1,10.1,ug/m3 LC,53,Tallahassee Community College,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,45220,"Tallahassee, FL",12,Florida,73,Leon,30.439722,-84.346389
