Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/10/2021,AQS,60370002,1,3.9,ug/m3 LC,22,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/16/2021,AQS,60370002,1,4.5,ug/m3 LC,25,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/22/2021,AQS,60370002,1,5.7,ug/m3 LC,32,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/28/2021,AQS,60370002,1,3.8,ug/m3 LC,21,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/3/2021,AQS,60370002,1,8.7,ug/m3 LC,48,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/9/2021,AQS,60370002,1,18.6,ug/m3 LC,69,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/15/2021,AQS,60370002,1,8.4,ug/m3 LC,47,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/21/2021,AQS,60370002,1,4.3,ug/m3 LC,24,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/27/2021,AQS,60370002,1,9,ug/m3 LC,50,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/5/2021,AQS,60370002,1,7.3,ug/m3 LC,41,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/11/2021,AQS,60370002,1,1.4,ug/m3 LC,8,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/17/2021,AQS,60370002,1,9.8,ug/m3 LC,52,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/23/2021,AQS,60370002,1,8.9,ug/m3 LC,49,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/29/2021,AQS,60370002,1,9.4,ug/m3 LC,52,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/4/2021,AQS,60370002,1,15.2,ug/m3 LC,62,Azusa,1,100,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
