Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/2021,AQS,170830117,3,7.7,ug/m3 LC,43,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/2/2021,AQS,170830117,3,11.7,ug/m3 LC,56,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/3/2021,AQS,170830117,3,14.6,ug/m3 LC,61,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/4/2021,AQS,170830117,3,9.7,ug/m3 LC,52,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/5/2021,AQS,170830117,3,8.3,ug/m3 LC,46,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/6/2021,AQS,170830117,3,11.8,ug/m3 LC,56,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/7/2021,AQS,170830117,3,9.4,ug/m3 LC,52,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/8/2021,AQS,170830117,3,10.3,ug/m3 LC,53,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/9/2021,AQS,170830117,3,8.9,ug/m3 LC,49,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/10/2021,AQS,170830117,3,15.6,ug/m3 LC,63,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/11/2021,AQS,170830117,3,8.8,ug/m3 LC,49,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/12/2021,AQS,170830117,3,8.7,ug/m3 LC,48,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/13/2021,AQS,170830117,3,7,ug/m3 LC,39,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/14/2021,AQS,170830117,3,7.2,ug/m3 LC,40,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/15/2021,AQS,170830117,3,3.2,ug/m3 LC,18,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/16/2021,AQS,170830117,3,7.4,ug/m3 LC,41,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/17/2021,AQS,170830117,3,5.9,ug/m3 LC,33,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/18/2021,AQS,170830117,3,7.2,ug/m3 LC,40,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/19/2021,AQS,170830117,3,7.7,ug/m3 LC,43,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/20/2021,AQS,170830117,3,5.9,ug/m3 LC,33,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/21/2021,AQS,170830117,3,3.7,ug/m3 LC,21,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/22/2021,AQS,170830117,3,2.5,ug/m3 LC,14,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/23/2021,AQS,170830117,3,5.2,ug/m3 LC,29,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/24/2021,AQS,170830117,3,9.5,ug/m3 LC,52,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/25/2021,AQS,170830117,3,9.2,ug/m3 LC,51,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/26/2021,AQS,170830117,3,8.4,ug/m3 LC,47,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/27/2021,AQS,170830117,3,8,ug/m3 LC,44,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/28/2021,AQS,170830117,3,9.8,ug/m3 LC,52,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/29/2021,AQS,170830117,3,10.1,ug/m3 LC,53,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/30/2021,AQS,170830117,3,5.9,ug/m3 LC,33,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
1/31/2021,AQS,170830117,3,7.7,ug/m3 LC,43,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
2/1/2021,AQS,170830117,3,8.8,ug/m3 LC,49,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
2/2/2021,AQS,170830117,3,9.2,ug/m3 LC,51,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
2/3/2021,AQS,170830117,3,11.7,ug/m3 LC,56,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
2/4/2021,AQS,170830117,3,9.1,ug/m3 LC,51,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
2/5/2021,AQS,170830117,3,4.1,ug/m3 LC,23,JERSEYVILLE WATER TREATMENT PLANT (WTP),1,100,88101,PM2.5 - Local Conditions,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,41180,"St. Louis, MO-IL",17,Illinois,83,Jersey,39.101439,-90.344494
